obs,Sample_id,SampleDate,ReportDate,P2,Grower,Field,Y,X,attribute,measure
61,45,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790539,44.039106,Om,5.9
62,47,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789406,44.03939,Om,4
63,19,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796546,44.042351,Om,5.4
64,1,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794191,44.043868,Om,4.7
65,17,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794509,44.043223,Om,4.7
66,18,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79787,44.04228,Om,4.9
67,20,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795191,44.042227,Om,7.8
68,21,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793774,44.041882,Om,5.2
69,22,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793374,44.042354,Om,4.7
70,38,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794446,44.040494,Om,5.3
71,39,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795601,44.04124,Om,4.6
72,34,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7894,44.040929,Om,6.1
73,48,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787318,44.040334,Om,5.6
74,2,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79294,44.043647,Om,4.5
75,3,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791681,44.043841,Om,4.5
76,4,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790426,44.043828,Om,5.5
77,5,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789361,44.043621,Om,4.6
78,14,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789307,44.042996,Om,3.8
79,15,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790425,44.043033,Om,4.7
80,16,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793154,44.043111,Om,4.6
81,23,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791611,44.042262,Om,4.4
82,24,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790729,44.042277,Om,4.1
83,25,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789325,44.042079,Om,4.2
84,35,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79065,44.041175,Om,4.9
85,36,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791528,44.041356,Om,4.4
86,37,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793113,44.041018,Om,4.9
87,43,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.792411,44.040423,Om,4.8
88,44,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7899,44.040482,Om,7
89,49,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791575,44.043216,Om,8.9
90,31,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785745,44.041331,Om,4.5
91,6,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787815,44.043763,Om,4.5
92,7,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786711,44.043849,Om,3.7
93,8,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785712,44.043741,Om,3.7
94,9,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784476,44.043642,Om,4.1
95,10,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784437,44.043066,Om,3.3
96,11,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785492,44.042882,Om,4
97,12,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.78642,44.043149,Om,3.8
98,13,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787748,44.042894,Om,4.1
99,26,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787836,44.041928,Om,3.9
100,27,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786688,44.041647,Om,3.5
101,28,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785438,44.042245,Om,3.9
102,29,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784606,44.042261,Om,3.8
103,30,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784361,44.040973,Om,4.3
104,32,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786437,44.040678,Om,4.3
105,33,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787549,44.04102,Om,5.4
106,40,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796675,44.041007,Om,6.5
107,10,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727839,43.953417,Om,5.6
108,11,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726718,43.953417,Om,5.2
109,12,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725547,43.953435,Om,4.7
110,13,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.953435,Om,4.3
111,14,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724252,43.954331,Om,5.1
112,15,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725447,43.954385,Om,4.1
113,16,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.954385,Om,4.8
114,17,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.954385,Om,6.2
115,18,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.9553,Om,7
116,19,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726792,43.955264,Om,9.1
117,20,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.955264,Om,5.9
118,21,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724152,43.955264,Om,4.9
119,22,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.956161,Om,6.1
120,23,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725422,43.956161,Om,8.9
121,24,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.956143,Om,6.6
122,25,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727963,43.956179,Om,4.5
123,26,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727988,43.956986,Om,5
124,27,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726767,43.956986,Om,7.1
125,28,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.957039,Om,8.9
126,29,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.956986,Om,8.4
127,42,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721686,43.953327,Om,8.4
128,43,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.720465,43.953327,Om,9.5
129,44,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719194,43.953327,Om,5.3
130,9,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727864,43.95252,Om,4.4
131,1,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.951641,Om,4.5
132,2,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726767,43.950709,Om,4.5
133,3,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727888,43.950727,Om,4.9
134,4,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.951641,Om,5
135,5,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726743,43.951624,Om,6.2
136,6,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724152,43.952502,Om,9
137,7,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725447,43.952502,Om,5.7
138,8,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.95252,Om,4.2
139,30,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.720465,43.950691,Om,4.2
140,31,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721711,43.950727,Om,4.1
141,32,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722956,43.950709,Om,3.7
142,33,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722931,43.951641,Om,6.6
143,34,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721686,43.951624,Om,9.4
144,35,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.72049,43.951624,Om,8.4
145,36,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719245,43.951624,Om,9.5
146,37,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719194,43.952502,Om,5.8
147,38,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.72039,43.952502,Om,4.8
148,39,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721736,43.952502,Om,3.9
149,40,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722956,43.952502,Om,4.9
150,45,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719145,43.950691,Om,3.4
151,46,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.951677,Om,4.4
152,41,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722931,43.953327,Om,9
153,1,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715079,44.001031,Ph,7.1
154,2,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716077,44.001391,Ph,7.1
155,3,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717587,44.001059,Ph,6.8
156,4,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717699,44.001909,Ph,6.6
157,5,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716624,44.002105,Ph,5.9
158,6,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715059,44.001936,Ph,6.3
159,7,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713805,44.001922,Ph,6.9
160,8,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713972,44.00264,Ph,6.4
161,9,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715039,44.002841,Ph,6.6
162,10,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716294,44.002855,Ph,6.8
163,11,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717385,44.003141,Ph,6.6
164,12,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716274,44.00376,Ph,6.5
165,13,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715106,44.003974,Ph,6.9
166,14,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713939,44.003573,Ph,6.8
167,15,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717323,44.004169,Ph,7.1
168,16,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713937,44.004847,Ph,6.6
169,17,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715969,44.00454,Ph,6.7
170,18,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717436,44.004981,Ph,6.1
171,19,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717464,44.006085,Ph,6.7
172,21,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714748,44.005403,Ph,6.3
173,22,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713944,44.005743,Ph,6.9
174,23,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714413,44.006418,Ph,6.6
175,24,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715524,44.00643,Ph,7.1
176,25,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716721,44.007198,Ph,7
177,26,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715544,44.00727,Ph,7.3
178,27,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714043,44.007149,Ph,7.4
179,28,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713809,44.001158,Ph,7.4
180,20,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716563,44.005518,Ph,7.1
181,21,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789544,43.993098,Ph,6.1
182,22,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789501,43.9926,Ph,6.3
183,27,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789415,43.986972,Ph,6.4
184,5,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.793132,43.992454,Ph,6.2
185,6,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.792942,43.993183,Ph,6.1
186,8,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791453,43.990199,Ph,6.3
187,9,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791117,43.989561,Ph,6
188,10,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791278,43.988939,Ph,5.9
189,11,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791485,43.988026,Ph,6.1
190,12,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791651,43.987113,Ph,6.6
191,13,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790426,43.986993,Ph,6.7
192,14,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79048,43.987656,Ph,6.7
193,15,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790527,43.98863,Ph,6.8
194,16,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789865,43.98947,Ph,6.5
195,17,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79043,43.9901,Ph,6.4
196,18,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790678,43.991096,Ph,6.8
197,19,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790759,43.992419,Ph,6.6
198,20,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791025,43.993192,Ph,6.5
199,23,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.78936,43.990273,Ph,6.1
200,24,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788906,43.989509,Ph,6.3
201,25,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788962,43.98871,Ph,6.5
202,26,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789561,43.987705,Ph,6.7
203,29,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789559,43.991084,Ph,6.3
204,1,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.795423,43.992537,Ph,5.9
205,2,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794859,43.993213,Ph,6.5
206,3,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794072,43.992681,Ph,6.2
207,4,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794252,43.991797,Ph,5.7
208,28,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.796501,43.99326,Ph,6.3
209,7,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791593,43.992593,Ph,6.5
210,41,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.797858,44.041203,Ph,6.4
211,42,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795701,44.040519,Ph,7.1
212,46,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794507,44.039956,Ph,6.4
213,45,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790539,44.039106,Ph,5.4
214,47,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789406,44.03939,Ph,6.4
215,19,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796546,44.042351,Ph,7.3
216,1,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794191,44.043868,Ph,7.3
217,17,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794509,44.043223,Ph,6.4
218,18,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79787,44.04228,Ph,6.3
219,20,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795191,44.042227,Ph,7.1
220,21,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793774,44.041882,Ph,6.7
221,22,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793374,44.042354,Ph,6.4
222,38,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794446,44.040494,Ph,6.1
223,39,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795601,44.04124,Ph,6.5
224,34,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7894,44.040929,Ph,6.7
225,48,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787318,44.040334,Ph,6.2
226,2,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79294,44.043647,Ph,7.2
227,3,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791681,44.043841,Ph,7.3
228,4,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790426,44.043828,Ph,7.3
229,5,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789361,44.043621,Ph,7
230,14,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789307,44.042996,Ph,6.5
231,15,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790425,44.043033,Ph,6.6
232,16,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793154,44.043111,Ph,6.5
233,23,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791611,44.042262,Ph,6.3
234,24,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790729,44.042277,Ph,6.3
235,25,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789325,44.042079,Ph,6.6
236,35,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79065,44.041175,Ph,6.2
237,36,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791528,44.041356,Ph,5.9
238,37,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793113,44.041018,Ph,6.2
239,43,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.792411,44.040423,Ph,6.6
240,44,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7899,44.040482,Ph,5.9
241,49,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791575,44.043216,Ph,6.4
242,31,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785745,44.041331,Ph,6.2
243,6,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787815,44.043763,Ph,7.1
244,7,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786711,44.043849,Ph,7.3
245,8,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785712,44.043741,Ph,7.2
246,9,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784476,44.043642,Ph,6.9
247,10,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784437,44.043066,Ph,6.1
248,11,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785492,44.042882,Ph,6.1
249,12,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.78642,44.043149,Ph,6.2
250,13,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787748,44.042894,Ph,6.3
251,26,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787836,44.041928,Ph,6.4
252,27,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786688,44.041647,Ph,6
253,28,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785438,44.042245,Ph,6.4
254,29,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784606,44.042261,Ph,6.4
255,30,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784361,44.040973,Ph,6.5
256,32,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786437,44.040678,Ph,6.5
257,33,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787549,44.04102,Ph,6.1
258,40,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796675,44.041007,Ph,6.3
259,10,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727839,43.953417,Ph,5.7
260,11,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726718,43.953417,Ph,6.2
261,12,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725547,43.953435,Ph,6.5
262,13,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.953435,Ph,6.1
263,14,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724252,43.954331,Ph,6.5
264,15,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725447,43.954385,Ph,6.6
265,16,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.954385,Ph,6.3
266,17,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.954385,Ph,6.9
267,18,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.9553,Ph,6.9
268,19,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726792,43.955264,Ph,6.8
